"","Informazioni.cronologiche","gender","age","Occupation","Question.1","Question.2","Question.3","Question.4","Question.5","Question.6","Question.7","Question.8","Question.9","Fam_discount"
"1","05/08/2021 13.49.36","F",25,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Yes"
"2","05/08/2021 15.42.16","M",29,"Unemployed","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Yes"
"3","05/08/2021 15.42.58","M",66,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"4","05/08/2021 15.50.12","M",27,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"5","05/08/2021 15.50.18","M",25,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"6","05/08/2021 15.52.24","M",60,"Worker","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Yes"
"7","05/08/2021 16.00.28","M",32,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Yes"
"8","05/08/2021 16.10.21","F",25,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"9","05/08/2021 16.17.01","M",26,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"10","05/08/2021 16.26.58","F",55,"Worker","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Yes"
"11","05/08/2021 16.38.51","F",32,"Worker","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 3","Alternative 3","Yes"
"12","05/08/2021 16.40.03","M",25,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","No"
"13","05/08/2021 16.52.30","F",27,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"14","05/08/2021 17.24.38","M",27,"Worker","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"15","05/08/2021 18.49.37","M",28,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"16","05/08/2021 22.06.42","F",48,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"17","05/08/2021 23.00.21","F",28,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
